posx,posy,posz,interval
32768,32171,7,100
32768,32172,7,100
32768,32173,7,100
32768,32174,7,100
32768,32175,7,100
32769,32175,7,100
32769,32176,7,100
32770,32176,7,100
32770,32177,7,100
32771,32177,7,100
32771,32178,7,100
32772,32178,7,100
32772,32179,7,100
32772,32180,7,100
32773,32180,7,100
32774,32180,7,100
32775,32180,7,100
32776,32180,7,100
32777,32180,7,100
32778,32180,7,100
32779,32180,7,100
32780,32180,7,100
32781,32180,7,100
32781,32181,7,100
32782,32181,7,100
32782,32182,7,100
32783,32182,7,100
32784,32182,7,100
32785,32182,7,100
32786,32182,7,100
32787,32182,7,100
32788,32182,7,100
32788,32183,7,100
32789,32183,7,100
32790,32183,7,100
32791,32183,7,100
32791,32182,7,100
32792,32182,7,100
32793,32182,7,100
32794,32182,7,100
32795,32182,7,100
32796,32182,7,100
32797,32182,7,100
32797,32181,7,100
32798,32181,7,100
32798,32180,7,100
32799,32180,7,100
32799,32179,7,100
32800,32179,7,100
32800,32178,7,100
32800,32177,7,100
32800,32176,7,100
32800,32175,7,100
32801,32175,7,100
32801,32174,7,100
32801,32173,7,100
32801,32172,7,100
32801,32173,7,100
32801,32172,7,100
32801,32173,7,100
32801,32172,7,100
32801,32173,7,100
32801,32174,7,100
32801,32175,7,100
32800,32175,7,100
32799,32175,7,100
32798,32175,7,100
32797,32175,7,100
32796,32175,7,100
32795,32175,7,100
32795,32174,7,100
32794,32174,7,100
32794,32173,7,100
32793,32173,7,100
32792,32173,7,100
32791,32173,7,100
32791,32172,7,100
32790,32172,7,100
32790,32171,7,100
32789,32171,7,100
32788,32171,7,100
32787,32171,7,100
32786,32171,7,100
32785,32171,7,100
32784,32171,7,100
32783,32171,7,100
32782,32171,7,100
32781,32171,7,100
32781,32170,7,100
32781,32169,7,100
32780,32169,7,100
32779,32169,7,100
32779,32168,7,100
32778,32168,7,100
32778,32167,7,100
32778,32166,7,100
32778,32165,7,100
32777,32165,7,100
32776,32165,7,100
32775,32165,7,100
32774,32165,7,100
32773,32165,7,100
32772,32165,7,100
32771,32165,7,100
32771,32166,7,100
32770,32166,7,100
32770,32167,7,100
32770,32168,7,100
32771,32168,7,100
32771,32169,7,100
32771,32170,7,100
32770,32170,7,100
32769,32170,7,100
32768,32170,7,100
32768,32171,7,100
