posx,posy,posz,interval
32776,32179,7,100
32790,32183,7,100
32797,32183,7,100
32799,32194,7,100
32799,32203,7,100
32793,32208,7,100
32791,32216,7,100
32792,32219,7,100
32792,32230,7,100
32792,32234,7,100
32786,32237,7,100
32776,32240,7,100
32777,32243,7,100
32777,32250,7,100
32781,32255,7,100
32785,32256,7,100
32793,32255,7,100
32802,32253,7,100
32807,32245,7,100
32804,32244,7,100
32802,32244,7,100
32802,32243,7,100
32802,32240,7,100
32800,32240,7,100
32800,32240,7,100
32800,32239,7,100
32799,32238,7,100
32798,32237,7,100
32792,32232,7,100
32788,32221,7,100
32788,32216,7,100
32787,32210,7,100
32787,32204,7,100
32786,32204,7,100
32784,32204,7,100
32784,32205,7,100
32783,32205,7,100
32781,32205,7,100
32780,32200,7,100
32777,32195,7,100
32772,32195,7,100
32768,32195,7,100
32768,32191,7,100
32768,32189,7,100
32768,32186,7,100
32769,32186,7,100
32769,32185,7,100
32769,32183,7,100
32768,32183,7,100
32768,32181,7,100
32768,32179,7,100
32768,32178,7,100
32770,32177,7,100
32771,32178,7,100
32772,32180,7,100
32774,32180,7,100
32776,32180,7,100
