posx,posy,posz,interval
32369,32222,8,100
32369,32221,8,100
32369,32220,8,100
32369,32219,8,100
32369,32218,8,100
32369,32217,8,100
32369,32216,8,100
32369,32215,8,100
32369,32214,8,100
32369,32213,8,100
32369,32212,8,100
32369,32211,8,100
32369,32210,8,100
32369,32209,8,100
32369,32208,8,100
32369,32207,8,100
32369,32206,8,100
32369,32205,8,100
32369,32204,8,100
32369,32203,8,100
32369,32202,8,100
32369,32201,8,100
32369,32200,8,100
32369,32199,8,100
32369,32198,8,100
32369,32197,8,100
32369,32196,8,100
32369,32195,8,100
32369,32194,8,100
32369,32193,8,100
32369,32192,8,100
32369,32191,8,100
32369,32190,8,100
32368,32190,8,100
32367,32190,8,100
32366,32190,8,100
32365,32190,8,100
32364,32190,8,100
32363,32190,8,100
32362,32190,8,100
32361,32190,8,100
32360,32190,8,100
32359,32190,8,100
32358,32190,8,100
32357,32190,8,100
32356,32190,8,100
32355,32190,8,100
32354,32190,8,100
32353,32190,8,100
32352,32190,8,100
32351,32190,8,100
32350,32190,8,100
32349,32190,8,100
32348,32190,8,100
32347,32190,8,100
32346,32190,8,100
32345,32190,8,100
32344,32190,8,100
32343,32190,8,100
32342,32190,8,100
32341,32190,8,100
32340,32190,8,100
32339,32190,8,100
32338,32190,8,100
32337,32190,8,100
32336,32190,8,100
32335,32190,8,100
32336,32190,8,100
32337,32190,8,100
32338,32190,8,100
32339,32190,8,100
32340,32190,8,100
32341,32190,8,100
32342,32190,8,100
32343,32190,8,100
32344,32190,8,100
32345,32190,8,100
32346,32190,8,100
32347,32190,8,100
32348,32190,8,100
32349,32190,8,100
32350,32190,8,100
32351,32190,8,100
32352,32190,8,100
32353,32190,8,100
32354,32190,8,100
32355,32190,8,100
32356,32190,8,100
32357,32190,8,100
32358,32190,8,100
32359,32190,8,100
32360,32190,8,100
32361,32190,8,100
32362,32190,8,100
32363,32190,8,100
32364,32190,8,100
32365,32190,8,100
32366,32190,8,100
32367,32190,8,100
32368,32190,8,100
32368,32191,8,100
32368,32192,8,100
32368,32193,8,100
32368,32194,8,100
32368,32195,8,100
32368,32196,8,100
32368,32197,8,100
32368,32198,8,100
32368,32199,8,100
32368,32200,8,100
32368,32201,8,100
32368,32202,8,100
32368,32203,8,100
32368,32204,8,100
32368,32205,8,100
32368,32206,8,100
32368,32207,8,100
32368,32208,8,100
32368,32209,8,100
32368,32210,8,100
32368,32211,8,100
32368,32212,8,100
32368,32213,8,100
32368,32214,8,100
32369,32214,8,100
32370,32214,8,100
32371,32214,8,100
32372,32214,8,100
32373,32214,8,100
32374,32214,8,100
32375,32214,8,100
32376,32214,8,100
32377,32214,8,100
32378,32214,8,100
32379,32214,8,100
32380,32214,8,100
32381,32214,8,100
32382,32214,8,100
32383,32214,8,100
32384,32214,8,100
32385,32214,8,100
32386,32214,8,100
32387,32214,8,100
32388,32214,8,100
32389,32214,8,100
32390,32214,8,100
