posx,posy,posz,interval
32368,32215,8,100
32368,32210,8,100
32368,32205,8,100
32368,32200,8,100
32368,32195,8,100
32368,32190,8,100
32368,32190,8,100
32363,32190,8,100
32358,32190,8,100
32353,32190,8,100
32348,32190,8,100
32343,32190,8,100
32338,32190,8,100
32343,32190,8,100
32348,32190,8,100
32353,32190,8,100
32358,32190,8,100
32363,32190,8,100
32368,32190,8,100
32369,32190,8,100
32369,32195,8,100
32369,32200,8,100
32369,32205,8,100
32369,32210,8,100
32369,32215,8,100
32369,32215,8,100
32374,32215,8,100
32379,32215,8,100
32384,32215,8,100
32389,32215,8,100
32394,32215,8,100
32399,32215,8,100
32404,32215,8,100
32409,32215,8,100
32414,32215,8,100
32419,32215,8,100
32421,32215,8,100
32421,32220,8,100
32421,32225,8,100
32421,32225,8,100
32424,32225,8,100
32424,32230,8,100
32424,32235,8,100
32424,32240,8,100
32424,32245,8,100
32424,32250,8,100
32424,32255,8,100
32424,32255,8,100
32419,32255,8,100
32414,32255,8,100
32409,32255,8,100
32404,32255,8,100
32399,32255,8,100
32394,32255,8,100
32389,32255,8,100
32389,32255,8,100
32389,32251,8,100
32384,32251,8,100
32379,32251,8,100
32374,32251,8,100
32369,32251,8,100
32367,32251,8,100
32367,32246,8,100
32367,32241,8,100
32367,32241,8,100
32368,32241,8,100
32368,32236,8,100
32368,32231,8,100
